id,text,parent_id,weight,sentiment
1,"Thesis: God [1] exists.","",5,1
2,"The available scientific evidence supports the non-existence of God.",1,5,-1
3,"The origins of the universe [2] are best explained by the existence of God.",2,5,-1
4,"God, with the qualities of Classical Theism [3], is not necessarily the root cause of the universe.",3,5,-1
5,"The law of entropy indicates that the cause of the universe must be infinite and completely lacking entropy.  If God's entropy is 0 and he is infinite than he must necessarily be good at least to the extent that entropy is defined as lack of order or chaos.",4,5,-1
6,"The law of entropy does not require the universe be infinite, or to lack entropy at the beginning.",5,5,-1
7,"Saying something could be the answer does not make it more likely then other scenarios.",5,5,-1
8,"There's no reason to believe the second law of thermodynamics matters in respect to metaphysical claims. It doesn't even necessarily affect all physical claims because we still haven't figured out how the laws of pshysics worked during the beginning of the universe.",5,5,-1
9,"Being the ultimate cause of everything that has a cause would be omnipotence in the purest form.",4,5,-1
10,"Omnipotence is generally defined as ""having unlimited power and potential; being able to bring about (effortlessly) any possible state of affairs."" This seems incompatible with being an ""unmoved mover"" or ""pure actuality""",9,5,-1
11,"Pure actuality, by definition, would have no potentials, and hence no powers. It couldn't do/be anything other than what it in fact did/was.",5,10,1
12,"Being able to cause the cosmos to exist is not the same as being able to do anything. Whatever can cause the cosmos to exist may not be able to do other things, such as communicate with humans.",9,5,-1
13,"Even if there were some force that pushed the universe to existence, there is no evidence it would resemble the humanity's understanding of the God rather than simply another law of physics. For example, there is no evidence that the force that created the universe has any knowledge of Earth or humans, or that it is even capable of such a thing.",4,5,1
14,"Every building has a builder. Every painting has a painter. So, that must mean Creation has a Creator.",3,5,1
15,"We have evidence the builder of a building exists or existed. as with the painter of a painting. We can't demonstrate that creation has a creator.",14,5,-1
16,"Builders and painters have materials and tools to work with, extracted from the natural environment. A potential creator of existence by definition could not thus making this a poor comparison or an admission of nature predating such a creator and his work.",14,5,-1
17,"By that logic, that Creator also has a creator, making this agent or element non-explanatory.",14,5,-1
18,"However, a mountain has neither a single nor a plurality of long-working tectonic plate- or rubble-moving beings. Instead, those are natural forces/processes.",14,5,-1
19,"The universe and everything in it is part of an infinite cycle of probabilistic events.",3,5,-1
20,"Appealing to infinity is less parsimonious than appealing to a simple, unembodied mind (God). Therefore, it is an inferior explanation.",19,5,-1
21,"The language of disembodied minds is hugely problematic. It maybe an article of faith but it poses more questions than it lays to rest.",20,5,-1
22,"Regardless of the questions that remain, 'disembodied minds' have less problems conceptually than for example 'infinite regresses' and 'uncaused contingent facts' do. Therefore, it is the superior explanation.",21,5,-1
23,"Unless examples are given of the insurmountable problems to the idea of a mind without a body, this objection amounts to nothing more than an argument from personal incredulity [4]",21,5,-1
24,"This God is improbable when one considers the possibility of endless rising and fallings of forms and events from a quantum field.",19,5,1
25,"The Kalam cosmological argument [5] demonstrates the universe requires a cause and the best candidate for this cause is God.",3,5,1
26,"The only things known about the cause of the universe (if indeed there is one) are (1) that it did (and hence could) cause the universe, and (2) that it isn't the universe itself or part of it. Nothing else can be inferred, and hence it is unjustified to infer it was anything like the God of classical theism.",25,5,-1
27,"The Kalam cosmological argument commits several logical fallacies.",25,5,-1
28,"The Kalam cosmological argument commits the fallacy of composition [6].",27,5,1
29,"The fallacy would be to infer ‘The universe has a cause’ from the observation that everything in the universe seems to be caused by something else. But the question is whether ‘Everything that begins to exist has a cause’ (1st premise of the KCA) is more plausible than its negation. It has to be taken on blind faith that there could be uncaused finite entities, such as the uncaused universe. By no means would this assertion be more plausible than ‘God created the Heavens and the Earth’.",28,5,-1
30,"All popular versions of the cosmological argument arbitrarily decide that a god does not require a creator. To arbitrarily require this is special pleading [7].",27,5,1
31,"Aquinas' First Way [8] results in a God who could not, in principle, have been created.",30,5,-1
32,"The neo-platonic model claims that God, a being that is all-powerful, all-knowing, and exists outside of time and space, is absolutely simple. This is contradictory.",31,5,-1
33,"Aquinas's conclusion only uses the word god as an end point. There is no justification for its use in his argument.",31,5,-1
34,"The distinction between Act and Potency [9], combined with the visible fact of change [10] in our world, entails the existence of an ""Unmoved Mover [11],"" (aka. uncaused causer, un-actualized actualizer) which is God.",31,5,1
35,"Per se causal chains [12] cannot regress to infinity, as opposed to per accidens causal chains.",34,5,1
36,"Objects do not need to obtain their causal power from the action of another object as though causal power were some kind of object itself which passes on from one entity to another.",35,5,-1
