id,text,parent_id,weight,sentiment
1,"Thesis: We should adopt a universal language.","",5,1
2,"A universal language would threaten linguistics and cultural diversity, eradicating the benefits of the latter.",1,5,-1
3,"The various different languages of the world all come with unique and peculiar ways to understand everything around them. Adopting a universal language would strip humanity away from one of the richest diversity factors and we would, without a doubt, miss out on so many experiences tied uniquely to language.",2,5,1
4,"Language is a key factor in culture.",3,5,1
5,"The way in which language is constructed in different tongues is believed by some linguists to be indicative of what is, or was, culturally important to the people(s) who use, or used, that language to communicate.",4,5,1
6,"The existence and use of an extensive system of honorifics [1] and differing speech registers [2] in the Japanese language arguably reflects the high cultural importance [3] attributed to politeness and social hierarchies in Japanese society.",5,5,1
7,"Languages can greatly influence their speakers' perceptions of time and space [4].",3,5,1
8,"It is possible to speak the same language and still have cultural diversity. This is evident by the stark difference in the cultural practices of countries who have a majority of native English speakers.",2,5,-1
9,"The United Kingdom [5] and Australia [6] both have a majority of native English speakers and yet there are vast [7] cultural differences [8] between the two.",8,5,1
10,"A universal language would eradicate the negative effects of linguistic imperialism and linguicism [9].",2,5,-1
11,"Any universal language created would inevitably favour one language or language group more than others, which would spark inequity.",10,5,-1
12,"It is not necessary for the chosen universal language to be an existing language. A new, universally accessible language can be created specially for this purpose.",11,5,-1
13,"Despite varying amounts of overlap, each language has a unique [10] set of phonemes used in that language. Creating a universally accessible one - utilising sounds that all humans could make - would thus be impossible.",12,5,-1
14,"Just as with learning any other foreign language, people can learn to pronounce the phonemes of a universal language if they have to. For example, many people learn English as a foreign language and speak it clearly, despite some of the rare phonemes it has like the ""th"" sound.",13,5,-1
15,"A centrally planned and researched universal language could be designed to have a phoneme system based mostly on very common phonemes.",13,5,-1
16,"Almost all [11] languages have the consonants p, t, k, m, n, and the vowels a i u; these could be the principal sounds chosen and then used in a universal language.",15,5,1
17,"This inequity would only be a problem for the first few generations using the language. If the global effort to unify were gentle, gradual and spanning multiple generations, the changing pains would be minimized. If the change is gradual enough, we will only benefit from it.",11,5,-1
18,"The sense of superiority initially gained by people whose language is adopted by others can remain and cause problems for hundreds of years.",17,5,-1
19,"An entirely new language could be created instead of choosing an existing one.",18,5,-1
20,"It is possible to create a very simple language which is easy for anyone to learn, regardless of their native language.",11,5,-1
21,"If the universal language were decided on by public vote across the world, a democratic and fair decision could be reached and inequity mitigated.",11,5,-1
22,"The universal language would most likely be determined by the powerful.",11,5,1
23,"In medieval times, French was a dominant [12] universal language due to the importance of the French Court and Empire at the time.",22,5,1
24,"The current lingua franca of the world is English. Its international presence is in large part due to the British Empire [13]'s imposing of their language on the many countries they forcefully invaded and colonised.",22,5,1
25,"The bridge languages of choice have not always been those of the most powerful group. Take, for instance, the story of the Indonesian language wherein Malay, the language of a minority group, was chosen over Javanese, the language of the majority and most powerful group.",22,5,-1
26,"In the colonial era of Indonesia, Bahasa Malay was the language of commerce and politics [14]; thus, the language of the elite.",25,5,-1
27,"Learning resources for and exposure to a universal language would vary from nation to nation depending on many different and diffult-to-control factors. While all humans have the ability to acquire a universal language, not all will have the same accessibility to learning that language.",11,5,1
28,"The most logical way to select a universal language would be to choose the most spoken one currently; however, this would mean billions of people would have to learn Mandarin Chinese [15], a very challenging language.",11,5,1
29,"The most spoken language is English. For the purposes of a universal second language it would make more sense to use the language with most speakers instead of the language with most native speakers.",28,5,-1
30,"English [16] is also a challenging language to learn.",29,5,-1
31,"Currently, an EU language regime based on English, French and German would disenfranchise 26% to 49% [17] of EU residents.",10,5,1
32,"EU citizens who did not speak those 3 languages would not have immediate and equal access to EU legal documents, official publications, announcements, or parliamentary debates, and would therefore not have as immediate and equal access to the benefits that such information could bring.",31,5,1
33,"Linguistic hierarchies stemming from colonial times persist in much of the world, meaning that there are currently inevitable barriers to success for those who do not speak a lingua franca as their mother tongue.",10,5,1
34,"English and other languages historically spoken by the wealthier parts of the world dominate the world of commerce, meaning that it is most often the already-privileged who are able to participate most successfully in international business.",33,5,1
35,"Research shows that students in countries like Bangladesh [18] and Nigeria [19] have to face socio-economic disadvantages because of their inability to afford good English lessons.",34,5,1
36,"Many non-standard dialects and creoles deriving from a mixture of languages and cultures are often viewed as substandard, and people can be discriminated against for use of this language.",33,5,1
37,"Having one universal language will not solve this problem and people will still have different dialects, based on their own upbringing and culture. This can already be seen in the case of American English, which has 24 different dialects [20].",36,5,-1
38,"AAVE (African American Vernacular English) is often stigmatised [21] as a lazy or unintelligent dialect of English.",36,5,1
39,"Creating a universal language to smooth over the issue of linguicism is to sweep prejudice and discrimination under the carpet. These issues should be addressed at the root and not merely on a surface level.",10,5,-1
40,"The universal language would most likely be determined by the powerful.",10,5,-1
41,"A universal language would benefit the privileged and wealthy and put vulnerable and low-income citizens at a disadvantage.",10,5,-1
42,"Any universal language created would inevitably favour one language or language group more than others, which would spark inequity.",41,5,1
43,"Citizens who are unable to learn the new universal language would be excluded from public discourse as well from political and economic life.",41,5,1
44,"Women, especially those who are stay-at-home housewives, are likely to be excluded as studies have found that employed men learn a new language faster than stay-at-home housewives (Linguistic Diversity and Social Justice, p.49 [22]).",43,5,1
45,"A very high number of low-income Indians can not understand government documents and tax returns in India [23], where English is the official language in addition to various native languages.",43,5,1
46,"All humans speak a language meaning they have the ability to learn language.",43,5,-1
47,"The Critical Period [24] theory states that the human capability to acquire language to a native level is lost after childhood.",46,5,-1
